#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,pod
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:50Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:51Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:52Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:54Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:55Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:56Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:58Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:59Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:01Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:02Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:03Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:05Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:06Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:07Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:09Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:10Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:11Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:13Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:14Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:15Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:17Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:18Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:19Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:21Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:22Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:23Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:25Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:26Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:27Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:29Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:30Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:31Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:33Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:34Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:12:35Z,18,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
